date,4 browsers,3 browsers,2 browsers,flaky in 1 browser,slow in 1 browser,timeout in 1 browser,disabled in 1 browser
2018-05-09,0,6,60,130,12,59,906
2018-05-11,0,6,60,130,12,59,908
2018-05-13,0,6,60,130,12,59,908
2018-05-15,0,6,60,125,13,59,904
2018-05-16,0,6,60,125,13,59,911
2018-05-17,0,5,58,126,13,59,913
2018-05-19,0,5,55,126,15,59,914
2018-05-20,0,5,54,127,15,58,906
2018-05-21,0,5,55,126,15,58,906
2018-05-22,0,3,57,128,15,58,906
2018-05-23,0,3,57,131,15,58,907
2018-05-24,0,3,57,131,15,58,906
2018-05-25,0,3,57,131,15,58,907
2018-05-26,0,3,57,131,15,57,906
2018-05-27,0,3,57,131,15,57,906
2018-05-28,0,3,57,130,15,57,906
2018-05-29,0,3,56,131,15,57,909
2018-05-30,0,3,56,133,15,55,909
2018-05-31,0,3,140,130,15,55,2298
2018-06-01,0,3,140,130,15,55,2298
2018-06-02,0,3,137,131,15,57,2301
2018-06-03,0,3,137,131,15,57,2301
2018-06-04,0,3,137,142,15,55,2301
2018-06-05,0,3,137,142,15,55,2302
2018-06-06,0,3,132,146,15,57,2303
2018-06-07,0,3,132,147,15,57,2303
2018-06-08,0,3,132,147,15,57,2306
2018-06-09,0,3,132,147,13,60,2305
2018-06-10,0,3,131,148,13,60,2304
